Armchair Antarctica Point Data (WGS84),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Latitude,Longitude,Parent ID,Type,Label,URL,Logo/Profile URL,Our Icon,Established or Event Date,Associated Text,Source,Source Main Site,Licensing,Notes,Jurisdiction
-62.223111,-58.787056,29,Station,King Sejong Station,http://en.wikipedia.org/wiki/King_Sejong_Station,http://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/125px-Flag_of_South_Korea.svg.png,station.gif,1988,,,,,, South Korea
-62.217222,-58.961528,23,Station,Great Wall Station,http://en.wikipedia.org/wiki/Great_Wall_Station,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/125px-Flag_of_the_People%27s_Republic_of_China.svg.png,station.gif,1985,,,,,, China
-62.201167,-58.962583,51,Station,Professor Julio Escudero Base,http://en.wikipedia.org/wiki/Professor_Julio_Escudero_Base,http://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/125px-Flag_of_Chile.svg.png,station.gif,1994,,,,,, Chile
-62.196389,-58.960833,8,Station,Bellingshausen Station,http://en.wikipedia.org/wiki/Bellingshausen_Station,http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/125px-Flag_of_Russia.svg.png,station.gif,1968,,,,,, Russia
-62.195,-58.978333,19,Station,Base Presidente Eduardo Frei Montalva and Villa Las Estrellas,http://en.wikipedia.org/wiki/Base_Presidente_Eduardo_Frei_Montalva,http://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/125px-Flag_of_Chile.svg.png,station.gif,1969,,,,,, Chile
-62.184278,-58.903306,5,Station,Artigas Base,http://en.wikipedia.org/wiki/Artigas_Base,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Uruguay.svg/125px-Flag_of_Uruguay.svg.png,station.gif,1984,,,,,,Uruguay
-62.150039,-58.46725,25,Station,Henryk Arctowski Polish Antarctic Station,http://en.wikipedia.org/wiki/Henryk_Arctowski_Polish_Antarctic_Station,http://upload.wikimedia.org/wikipedia/en/thumb/1/12/Flag_of_Poland.svg/125px-Flag_of_Poland.svg.png,station.gif,1977,,,,,, Poland
-62.091639,-58.470944,34,Station,Machu Picchu Research Station,http://en.wikipedia.org/wiki/Machu_Picchu_Research_Station,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Peru.svg/125px-Flag_of_Peru.svg.png,station.gif,1989,,,,,, Peru
-62.083333,-58.391167,14,Station,Comandante Ferraz Brazilian Antarctic Base,http://en.wikipedia.org/wiki/Comandante_Ferraz_Brazilian_Antarctic_Base,http://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/125px-Flag_of_Brazil.svg.png,station.gif,1984,,,,,, Brazil
-61.133333,-55.116667,86,Station,Stranding at Elephant Island: Imperial Trans-Antarctic Expedition 1914-17 (Shackleton),http://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition,http://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/125px-Flag_of_the_United_Kingdom.svg.png,expedition.gif,1914,,,,,,
-60.737639,-44.739444,48,Station,Orcadas Base,http://en.wikipedia.org/wiki/Orcadas_Base,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/125px-Flag_of_Argentina.svg.png,station.gif,1904,,,,,,Argentina
-60.716667,-45.6,60,Station,Signy Research Station,http://en.wikipedia.org/wiki/Signy_Research_Station,http://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/125px-Flag_of_the_United_Kingdom.svg.png,station.gif,1947,,,,,, United Kingdom
-54.696667,158.85,95,Station,Elephant Seal Colony,http://en.wikipedia.org/wiki/Elephant_seal,http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_the_Antarctic_Treaty.svg/220px-Flag_of_the_Antarctic_Treaty.svg.png,seal.gif,,,,,,,
